Course name,Description,Topics,Instructors,URL,Department
Complex Variables with Applications,"Complex analysis is a basic tool with a great many practical applications to the solution of physical problems. It revolves around complex analytic functions—functions that have a complex derivative. Unlike calculus using real variables, the mere existence of a complex derivative has strong implications for the properties of the function. Applications reviewed in this class include harmonic functions, two dimensional fluid flow, easy methods for computing (seemingly) hard integrals, Laplace transforms, and Fourier transforms with applications to engineering and physics.Show less","Mathematics, Algebra and Number Theory, Calculus, Mathematical Analysis",Dr. Jeremy Orloff,https://ocw.mit.edu/courses/18-04-complex-variables-with-applications-fall-1999/,Mathematics
Linear Algebra,"This is a basic subject on matrix theory and linear algebra. Emphasis is given to topics that will be useful in other disciplines, including systems of equations, vector spaces, determinants, eigenvalues, similarity, and positive definite matrices.","Mathematics, Linear Algebra",Prof. Gilbert Strang,https://ocw.mit.edu/courses/18-06-linear-algebra-spring-2010/,Mathematics
Linear Algebra,"This is a basic subject on matrix theory and linear algebra. Emphasis is given to topics that will be useful in other disciplines, including systems of equations, vector spaces, determinants, eigenvalues, similarity, and positive definite matrices.","Mathematics, Linear Algebra",Prof. Gilbert Strang,https://ocw.mit.edu/courses/18-06sc-linear-algebra-fall-2011/,Mathematics
Linear Algebra,"This is a basic subject on matrix theory and linear algebra. Emphasis is given to topics that will be useful in other disciplines, including systems of equations, vector spaces, determinants, eigenvalues, similarity, and positive definite matrices.","Mathematics, Linear Algebra",Prof. Gilbert Strang,https://ocw.mit.edu/courses/18-700-linear-algebra-fall-2013/,Mathematics
"Matrix Methods in Data Analysis, Signal Processing, and Machine Learning","Linear algebra concepts are key for understanding and creating machine learning algorithms, especially as applied to deep learning and neural networks. This course reviews linear algebra with applications to probability and statistics and optimization–and above all a full explanation of deep learning.","Engineering, Electrical Engineering, Signal Processing, Mathematics",Prof. Gilbert Strang,https://ocw.mit.edu/courses/18-065-matrix-methods-in-data-analysis-signal-processing-and-machine-learning-spring-2018/,Mathematics
Linear Algebra - Communications Intensive,This is a communication intensive supplement to Linear Algebra (18.06). The main emphasis is on the methods of creating rigorous and elegant proofs and presenting them clearly in writing. The course starts with the standard linear algebra syllabus and eventually develops the techniques to approach a more advanced topic: abstract root systems in a Euclidean space.Show less,"Humanities, Literature, Academic Writing, Mathematics",Andrew Brooke-Taylor Dr. Anna Lachowska,https://ocw.mit.edu/courses/18-06ci-linear-algebra-communications-intensive-spring-2004/,Mathematics
Advanced Calculus for Engineers,"This course analyzes the functions of a complex variable and the calculus of residues. It also covers subjects such as ordinary differential equations, partial differential equations, Bessel and Legendre functions, and the Sturm-Liouville theory.","Mathematics, Calculus, Differential Equations, Mathematical Analysis",Dr. Dionisios Margetis Prof. John W. M. Bush,https://ocw.mit.edu/courses/18-075-advanced-calculus-for-engineers-fall-2004/,Mathematics
Computational Science and Engineering I,"This course provides a review of linear algebra, including applications to networks, structures, and estimation, Lagrange multipliers. Also covered are: differential equations of equilibrium; Laplace’s equation and potential flow; boundary-value problems; minimum principles and calculus of variations; Fourier series; discrete Fourier transform; convolution; and applications.","Engineering, Systems Engineering, Computational Science and Engineering, Mathematics",Prof. Gilbert Strang,https://ocw.mit.edu/courses/18-085-computational-science-and-engineering-i-fall-2008/,Mathematics
Computational Science and Engineering I,"This course provides a review of linear algebra, including applications to networks, structures, and estimation, Lagrange multipliers. Also covered are: differential equations of equilibrium; Laplace’s equation and potential flow; boundary-value problems; minimum principles and calculus of variations; Fourier series; discrete Fourier transform; convolution; and applications.","Engineering, Systems Engineering, Computational Science and Engineering, Mathematics",Prof. Gilbert Strang,https://ocw.mit.edu/courses/18-085-computational-science-and-engineering-i-summer-2020/,Mathematics
Mathematical Methods for Engineers II,This graduate-level course is a continuation of Mathematical Methods for Engineers I (18.085). Topics include numerical methods; initial-value problems; network flows; and optimization.,"Engineering, Systems Engineering, Computational Science and Engineering, Mathematics",Prof. Gilbert Strang,https://ocw.mit.edu/courses/18-086-mathematical-methods-for-engineers-ii-spring-2006/,Mathematics
Mathematical Exposition,"This course provides techniques of effective presentation of mathematical material. Each section of this course is associated with a regular mathematics subject, and uses the material of that subject as a basis for written and oral presentations. The section presented here is on chaotic dynamical systems.","Humanities, Literature, Academic Writing, Mathematics, Social Science",Dr. Emma Carberry,https://ocw.mit.edu/courses/18-091-mathematical-exposition-spring-2005/,Mathematics
Street-Fighting Mathematics,"This course teaches the art of guessing results and solving problems without doing a proof or an exact calculation. Techniques include extreme-cases reasoning, dimensional analysis, successive approximation, discretization, generalization, and pictorial analysis. Applications include mental calculation, solid geometry, musical intervals, logarithms, integration, infinite series, solitaire, and differential equations. (No epsilons or deltas are harmed by taking this course.) This course is offered during the Independent Activities Period (IAP), which is a special 4-week term at MIT that runs from the first week of January until the end of the month.Show less","Mathematics, Calculus, Computation, Mathematical Analysis",Sanjoy Mahajan,https://ocw.mit.edu/courses/18-098-street-fighting-mathematics-january-iap-2008/,"Mathematics
Electrical Engineering and Computer Science"
Real Analysis,"This course covers the fundamentals of mathematical analysis: convergence of sequences and series, continuity, differentiability, Riemann integral, sequences and series of functions, uniformity, and the interchange of limit operations. It shows the utility of abstract concepts through a study of real numbers, and teaches an understanding and construction of proofs.Show less","Mathematics, Calculus, Mathematical Analysis",Dr. Casey Rodriguez,https://ocw.mit.edu/courses/18-100a-real-analysis-fall-2020/,Mathematics
Real Analysis,"This course covers the fundamentals of mathematical analysis: convergence of sequences and series, continuity, differentiability, Riemann integral, sequences and series of functions, uniformity, and the interchange of limit operations. It shows the utility of abstract concepts through a study of real numbers, and teaches an understanding and construction of proofs.Show less","Mathematics, Calculus, Mathematical Analysis",Dr. Casey Rodriguez,https://ocw.mit.edu/courses/18-100c-real-analysis-fall-2012/,Mathematics
Introduction to Analysis,"Analysis I (18.100) in its various versions covers fundamentals of mathematical analysis: continuity, differentiability, some form of the Riemann integral, sequences and series of numbers and functions, uniform convergence with applications to interchange of limit operations, some point-set topology, including some work in Euclidean n-space.","Mathematics, Calculus, Differential Equations, Mathematical Analysis, Mathematical Logic",Prof. Arthur Mattuck,https://ocw.mit.edu/courses/18-100a-introduction-to-analysis-fall-2012/,Mathematics
Analysis I,"Analysis I covers fundamentals of mathematical analysis: metric spaces, convergence of sequences and series, continuity, differentiability, Riemann integral, sequences and series of functions, uniformity, interchange of limit operations.","Mathematics, Calculus, Differential Equations, Mathematical Analysis",Prof. Katrin Wehrheim,https://ocw.mit.edu/courses/18-100b-analysis-i-fall-2010/,Mathematics
Analysis II,"This course continues from Analysis I (18.100B), in the direction of manifolds and global analysis. The first half of the course covers multivariable calculus. The rest of the course covers the theory of differential forms in n-dimensional vector spaces and manifolds.","Mathematics, Calculus, Mathematical Analysis, Topology and Geometry",Prof. Victor Guillemin,https://ocw.mit.edu/courses/18-101-analysis-ii-fall-2005/,Mathematics
Introduction to Functional Analysis,"Functional analysis helps us study and solve both linear and nonlinear problems posed on a normed space that is no longer finite-dimensional, a situation that arises very naturally in many concrete problems. Topics include normed spaces, completeness, functionals, the Hahn-Banach Theorem, duality, operators; Lebesgue measure, measurable functions, integrability, completeness of Lᵖ spaces; Hilbert spaces; compact and self-adjoint operators; and the Spectral Theorem.Show less","Mathematics, Linear Algebra, Mathematical Analysis",Dr. Casey Rodriguez,https://ocw.mit.edu/courses/18-102-introduction-to-functional-analysis-spring-2021/,Mathematics
Introduction to Functional Analysis,"Functional analysis helps us study and solve both linear and nonlinear problems posed on a normed space that is no longer finite-dimensional, a situation that arises very naturally in many concrete problems. Topics include normed spaces, completeness, functionals, the Hahn-Banach Theorem, duality, operators; Lebesgue measure, measurable functions, integrability, completeness of Lᵖ spaces; Hilbert spaces; compact and self-adjoint operators; and the Spectral Theorem.Show less","Mathematics, Linear Algebra, Mathematical Analysis",Dr. Casey Rodriguez,https://ocw.mit.edu/courses/18-102-introduction-to-functional-analysis-spring-2009/,Mathematics
Fourier Analysis,"This course continues the content covered in 18.100 Analysis I. Roughly half of the subject is devoted to the theory of the Lebesgue integral with applications to probability, and the other half to Fourier series and Fourier integrals.","Mathematics, Mathematical Analysis, Probability and Statistics",Prof. David Jerison,https://ocw.mit.edu/courses/18-103-fourier-analysis-fall-2013/,Mathematics
Seminar in Analysis: Applications to Number Theory,18.104 is an undergraduate level seminar for mathematics majors. Students present and discuss subject matter taken from current journals or books. Instruction and practice in written and oral communication is provided. The topics vary from year to year. The topic for this term is Applications to Number Theory.,"Mathematics, Algebra and Number Theory, Mathematical Analysis",Dr. Dan Ciubotaru,https://ocw.mit.edu/courses/18-104-seminar-in-analysis-applications-to-number-theory-fall-2006/,Mathematics
Functions of a Complex Variable,"This is an advanced undergraduate course dealing with calculus in one complex variable with geometric emphasis. Since the course Analysis I (18.100B) is a prerequisite, topological notions like compactness, connectedness, and related properties of continuous functions are taken for granted.","Mathematics, Calculus, Mathematical Analysis, Topology and Geometry",Prof. Sigurdur Helgason,https://ocw.mit.edu/courses/18-112-functions-of-a-complex-variable-fall-2008/,Mathematics
Topics in Several Complex Variables,"This course covers harmonic theory on complex manifolds, the Hodge decomposition theorem, the Hard Lefschetz theorem, and Vanishing theorems. Some results and tools on deformation and uniformization of complex manifolds are also discussed.","Mathematics, Algebra and Number Theory, Mathematical Analysis, Topology and Geometry",Prof. Victor Guillemin,https://ocw.mit.edu/courses/18-117-topics-in-several-complex-variables-spring-2005/,Mathematics
Measure and Integration,"This graduate-level course covers Lebesgue’s integration theory with applications to analysis, including an introduction to convolution and the Fourier transform.","Mathematics, Calculus, Mathematical Analysis",Prof. Jeff Viaclovsky,https://ocw.mit.edu/courses/18-125-measure-and-integration-fall-2003/,Mathematics
Introduction to Partial Differential Equations,This course provides a solid introduction to Partial Differential Equations for advanced undergraduate students. The focus is on linear second order uniformly elliptic and parabolic equations.,"Mathematics, Differential Equations",Prof. Tobias Colding,https://ocw.mit.edu/courses/18-152-introduction-to-partial-differential-equations-fall-2005/,Mathematics
Introduction to Partial Differential Equations,This course provides a solid introduction to Partial Differential Equations for advanced undergraduate students. The focus is on linear second order uniformly elliptic and parabolic equations.,"Mathematics, Differential Equations",Prof. Tobias Colding,https://ocw.mit.edu/courses/18-152-introduction-to-partial-differential-equations-fall-2011/,Mathematics
Differential Analysis,This is the first semester of a two-semester sequence on Differential Analysis. Topics include fundamental solutions for elliptic; hyperbolic and parabolic differential operators; method of characteristics; review of Lebesgue integration; distributions; fourier transform; homogeneous distributions; asymptotic methods.,"Mathematics, Differential Equations, Mathematical Analysis",Prof. Richard Melrose,https://ocw.mit.edu/courses/18-155-differential-analysis-fall-2004/,Mathematics
Differential Analysis,This is the first semester of a two-semester sequence on Differential Analysis. Topics include fundamental solutions for elliptic; hyperbolic and parabolic differential operators; method of characteristics; review of Lebesgue integration; distributions; fourier transform; homogeneous distributions; asymptotic methods.,"Mathematics, Differential Equations, Mathematical Analysis",Prof. Richard Melrose,https://ocw.mit.edu/courses/18-156-differential-analysis-spring-2004/,Mathematics
Differential Analysis II: Partial Differential Equations and Fourier Analysis,"In this course, we study elliptic Partial Differential Equations (PDEs) with variable coefficients building up to the minimal surface equation. Then we study Fourier and harmonic analysis, emphasizing applications of Fourier analysis. We will see some applications in combinatorics / number theory, like the Gauss circle problem, but mostly focus on applications in PDE, like the Calderon-Zygmund inequality for the Laplacian, and the Strichartz inequality for the Schrodinger equation. In the last part of the course, we study solutions to the linear and the non-linear Schrodinger equation. All through the course, we work on the craft of proving estimates.Show less","Mathematics, Differential Equations, Mathematical Analysis",Prof. Lawrence D Guth,https://ocw.mit.edu/courses/18-156-differential-analysis-ii-partial-differential-equations-and-fourier-analysis-spring-2016/,Mathematics
Theory of Probability,"This course covers topics such as sums of independent random variables, central limit phenomena, infinitely divisible laws, Levy processes, Brownian motion, conditioning, and martingales.","Mathematics, Mathematical Analysis, Probability and Statistics",Prof. Scott Sheffield,https://ocw.mit.edu/courses/18-175-theory-of-probability-spring-2014/,Mathematics
Universal Random Structures in 2D,"This graduate-level course introduces students to some fundamental 2D random objects, explains how they are related to each other, and explores some open problems in the field.","Mathematics, Mathematical Analysis, Probability and Statistics, Topology and Geometry",Prof. Scott Sheffield,https://ocw.mit.edu/courses/18-177-universal-random-structures-in-2d-fall-2015/,Mathematics
Algebraic Combinatorics,"This course covers the applications of algebra to combinatorics. Topics include enumeration methods, permutations, partitions, partially ordered sets and lattices, Young tableaux, graph theory, matrix tree theorem, electrical networks, convex polytopes, and more.","Mathematics, Algebra and Number Theory, Discrete Mathematics",Prof. Alexander Postnikov,https://ocw.mit.edu/courses/18-212-algebraic-combinatorics-spring-2019/,Mathematics
Graph Theory and Additive Combinatorics,"This course examines classical and modern developments in graph theory and additive combinatorics, with a focus on topics and themes that connect the two subjects. The course also introduces students to current research topics and open problems.","Mathematics, Applied Mathematics, Discrete Mathematics, Probability and Statistics",Prof. Yufei Zhao,https://ocw.mit.edu/courses/18-217-graph-theory-and-additive-combinatorics-fall-2019/,Mathematics
Topics in Combinatorics: Analysis of Boolean Functions,"In this course, we will mostly be studying Fourier analysis of Boolean functions, which is a useful tool in theoretical computer science, combinatorics, and more. We will start with basic concepts such as influences, noise sensitivity, and hypercontractivity and some basic results in the area.","Mathematics, Probability and Statistics",Prof. Dor Minzer,https://ocw.mit.edu/courses/18-218-topics-in-combinatorics-analysis-of-boolean-functions-spring-2021/,Mathematics
Probabilistic Method in Combinatorics,"This course is a graduate-level introduction to the probabilistic method, a fundamental and powerful technique in combinatorics and theoretical computer science. The essence of the approach is to show that some combinatorial object exists and prove that a certain random construction works with positive probability. The course focuses on methodology as well as combinatorial applications.","Mathematics, Applied Mathematics, Discrete Mathematics, Probability and Statistics",Prof. Yufei Zhao,https://ocw.mit.edu/courses/18-226-probabilistic-method-in-combinatorics-fall-2020/,Mathematics
Geometry and Quantum Field Theory,"Geometry and Quantum Field Theory, designed for mathematicians, is a rigorous introduction to perturbative quantum field theory, using the language of functional integrals. It covers the basics of classical field theory, free quantum theories and Feynman diagrams. The goal is to discuss, using mathematical language, a number of basic notions and results of QFT that are necessary to understand talks and papers in QFT and String Theory.Show less","Mathematics, Applied Mathematics, Topology and Geometry, Science",Prof. Pavel Etingof,https://ocw.mit.edu/courses/18-238-geometry-and-quantum-field-theory-fall-2002/,Mathematics
Linear Partial Differential Equations: Analysis and Numerics,"This course provides students with the basic analytical and computational tools of linear partial differential equations (PDEs) for practical applications in science engineering, including heat / diffusion, wave, and Poisson equations. Analytics emphasize the viewpoint of linear algebra and the analogy with finite matrix problems. Numerics focus on finite-difference and finite-element techniques to reduce PDEs to matrix problems. The Julia Language (a free, open-source environment) is introduced and used in homework for simple examples.Show less","Mathematics, Applied Mathematics, Differential Equations, Linear Algebra",Prof. Steven G. Johnson,https://ocw.mit.edu/courses/18-303-linear-partial-differential-equations-analysis-and-numerics-fall-2014/,Mathematics
Linear Partial Differential Equations,"This course covers the classical partial differential equations of applied mathematics: diffusion, Laplace/Poisson, and wave equations. It also includes methods and tools for solving these PDEs, such as separation of variables, Fourier series and transforms, eigenvalue problems, and Green’s functions.","Mathematics, Applied Mathematics, Differential Equations",Dr. Matthew Hancock,https://ocw.mit.edu/courses/18-303-linear-partial-differential-equations-fall-2006/,Mathematics
Undergraduate Seminar in Discrete Mathematics,"This course is a student-presented seminar in combinatorics, graph theory, and discrete mathematics in general. Instruction and practice in written and oral communication is emphasized, with participants reading and presenting papers from recent mathematics literature and writing a final paper in a related topic.","Mathematics, Algebra and Number Theory, Applied Mathematics, Discrete Mathematics",Dr. Omer Tamuz,https://ocw.mit.edu/courses/18-304-undergraduate-seminar-in-discrete-mathematics-spring-2015/,Mathematics
Advanced Analytic Methods in Science and Engineering,Advanced Analytic Methods in Science and Engineering is a comprehensive treatment of the advanced methods of applied mathematics. It was designed to strengthen the mathematical abilities of graduate students and train them to think on their own.,"Mathematics, Applied Mathematics, Differential Equations, Mathematical Analysis",Prof. Hung Cheng,https://ocw.mit.edu/courses/18-305-advanced-analytic-methods-in-science-and-engineering-fall-2004/,Mathematics
Advanced Partial Differential Equations with Applications,"The focus of the course is the concepts and techniques for solving the partial differential equations (PDE) that permeate various scientific disciplines. The emphasis is on nonlinear PDE. Applications include problems from fluid dynamics, electrical and mechanical engineering, materials science, quantum mechanics, etc.Show less","Mathematics, Applied Mathematics, Differential Equations, Mathematical Analysis",Prof. Rodolfo Rosales,https://ocw.mit.edu/courses/18-306-advanced-partial-differential-equations-with-applications-fall-2009/,Mathematics
Integral Equations,"This course emphasizes concepts and techniques for solving integral equations from an applied mathematics perspective. Material is selected from the following topics: Volterra and Fredholm equations, Fredholm theory, the Hilbert-Schmidt theorem; Wiener-Hopf Method; Wiener-Hopf Method and partial differential equations; the Hilbert Problem and singular integral equations of Cauchy type; inverse scattering transform; and group theory. Examples are taken from fluid and solid mechanics, acoustics, quantum mechanics, and other applications.Show less","Mathematics, Applied Mathematics, Calculus, Differential Equations, Mathematical Analysis, Science",Dr. Dionisios Margetis,https://ocw.mit.edu/courses/18-307-integral-equations-spring-2006/,Mathematics
Principles of Discrete Applied Mathematics,"This course is an introduction to discrete applied mathematics. Topics include probability, counting, linear programming, number-theoretic algorithms, sorting, data compression, and error-correcting codes. This is a Communication Intensive in the Major (CI-M) course, and thus includes a writing component.Show less","Mathematics, Applied Mathematics, Discrete Mathematics, Probability and Statistics, Social Science",Prof. Michel Goemans Susan Ruff Dr. Lorenzo Orecchia Dr. Richard Peng,https://ocw.mit.edu/courses/18-310-principles-of-discrete-applied-mathematics-fall-2013/,Mathematics
Principles of Applied Mathematics,"18.311 Principles of Continuum Applied Mathematics covers fundamental concepts in continuous applied mathematics, including applications from traffic flow, fluids, elasticity, granular flows, etc. The class also covers continuum limit; conservation laws, quasi-equilibrium; kinematic waves; characteristics, simple waves, shocks; diffusion (linear and nonlinear); numerical solution of wave equations; finite differences, consistency, stability; discrete and fast Fourier transforms; spectral methods; transforms and series (Fourier, Laplace). Additional topics may include sonic booms, Mach cone, caustics, lattices, dispersion, and group velocity.Show less","Mathematics, Applied Mathematics, Differential Equations, Linear Algebra",Prof. Rodolfo Rosales,https://ocw.mit.edu/courses/18-311-principles-of-applied-mathematics-spring-2014/,Mathematics
Combinatorial Analysis,"This course analyzes combinatorial problems and methods for their solution. Topics include: enumeration, generating functions, recurrence relations, construction of bijections, introduction to graph theory, network algorithms, and extremal combinatorics.","Mathematics, Applied Mathematics, Discrete Mathematics",Prof. Richard Stanley,https://ocw.mit.edu/courses/18-314-combinatorial-analysis-fall-2014/,Mathematics
Combinatorial Theory: Hyperplane Arrangements,"This is a graduate-level course in combinatorial theory. The content varies year to year, according to the interests of the instructor and the students. The topic of this course is hyperplane arrangements, including background material from the theory of posets and matroids.","Mathematics, Algebra and Number Theory, Discrete Mathematics, Topology and Geometry",Prof. Richard Stanley,https://ocw.mit.edu/courses/18-315-combinatorial-theory-hyperplane-arrangements-fall-2004/,Mathematics
"Combinatorial Theory: Introduction to Graph Theory, Extremal and Enumerative Combinatorics","This course serves as an introduction to major topics of modern enumerative and algebraic combinatorics with emphasis on partition identities, young tableaux bijections, spanning trees in graphs, and random generation of combinatorial objects. There is some discussion of various applications and connections to other fields.Show less","Mathematics, Algebra and Number Theory, Discrete Mathematics, Topology and Geometry",Prof. Igor Pak,https://ocw.mit.edu/courses/18-315-combinatorial-theory-introduction-to-graph-theory-extremal-and-enumerative-combinatorics-spring-2005/,Mathematics
Topics in Algebraic Combinatorics,"The course consists of a sampling of topics from algebraic combinatorics. The topics include the matrix-tree theorem and other applications of linear algebra, applications of commutative and exterior algebra to counting faces of simplicial complexes, and applications of algebra to tilings.","Mathematics, Algebra and Number Theory, Discrete Mathematics, Linear Algebra",Prof. Richard Stanley,https://ocw.mit.edu/courses/18-318-topics-in-algebraic-combinatorics-spring-2006/,Mathematics
Geometric Combinatorics,"This course offers an introduction to discrete and computational geometry. Emphasis is placed on teaching methods in combinatorial geometry. Many results presented are recent, and include open (as yet unsolved) problems.","Engineering, Computer Science, Algorithms and Data Structures, Mathematics",Dr. Csaba Toth,https://ocw.mit.edu/courses/18-319-geometric-combinatorics-fall-2005/,Mathematics
Topics in Applied Mathematics: Waves and Imaging,"This class covers the mathematics of inverse problems involving waves, with examples taken from reflection seismology, synthetic aperture radar, and computerized tomography.","Mathematics, Applied Mathematics, Computation",Prof. Laurent Demanet,https://ocw.mit.edu/courses/18-325-topics-in-applied-mathematics-waves-and-imaging-fall-2015/,Mathematics
"Wavelets, Filter Banks and Applications","Wavelets are localized basis functions, good for representing short-time events. The coefficients at each scale are filtered and subsampled to give coefficients at the next scale. This is Mallat’s pyramid algorithm for multiresolution, connecting wavelets to filter banks. Wavelets and multiscale algorithms for compression and signal/image processing are developed. Subject is project-based for engineering and scientific applications.Show less","Engineering, Electrical Engineering, Signal Processing, Mathematics",Prof. Gilbert Strang Prof. Kevin Amaratunga,https://ocw.mit.edu/courses/18-327-wavelets-filter-banks-and-applications-spring-2003/,"Mathematics
Civil and Environmental Engineering"
Introduction to Numerical Analysis,"This course analyzed the basic techniques for the efficient numerical solution of problems in science and engineering. Topics spanned root finding, interpolation, approximation of functions, integration, differential equations, direct and iterative methods in linear algebra.","Mathematics, Applied Mathematics, Computation",Prof. Laurent Demanet,https://ocw.mit.edu/courses/18-330-introduction-to-numerical-analysis-spring-2012/,Mathematics
Introduction to Numerical Analysis,"This course analyzed the basic techniques for the efficient numerical solution of problems in science and engineering. Topics spanned root finding, interpolation, approximation of functions, integration, differential equations, direct and iterative methods in linear algebra.","Mathematics, Applied Mathematics, Computation",Prof. Laurent Demanet,https://ocw.mit.edu/courses/18-330-introduction-to-numerical-analysis-spring-2004/,Mathematics
Introduction to Numerical Methods,"This course offers an advanced introduction to numerical analysis, with a focus on accuracy and efficiency of numerical algorithms. Topics include sparse-matrix/iterative and dense-matrix algorithms in numerical linear algebra (for linear systems and eigenproblems), floating-point arithmetic, backwards error analysis, conditioning, and stability. Other computational topics (e.g., numerical integration or nonlinear optimization) are also surveyed.Show less","Engineering, Computer Science, Algorithms and Data Structures, Systems Engineering, Numerical Simulation, Mathematics",Prof. Steven G. Johnson,https://ocw.mit.edu/courses/18-335j-introduction-to-numerical-methods-spring-2019/,"Mathematics
Electrical Engineering and Computer Science"
Numerical Methods for Partial Differential Equations,"This graduate-level course is an advanced introduction to applications and theory of numerical methods for solution of differential equations. In particular, the course focuses on physically-arising partial differential equations, with emphasis on the fundamental ideas underlying various methods.","Engineering, Computer Science, Algorithms and Data Structures, Systems Engineering, Numerical Simulation, Mathematics",Dr. Benjamin Seibold,https://ocw.mit.edu/courses/18-336-numerical-methods-for-partial-differential-equations-spring-2009/,Mathematics
Parallel Computing,"This is an advanced interdisciplinary introduction to applied parallel computing on modern supercomputers. It has a hands-on emphasis on understanding the realities and myths of what is possible on the world’s fastest machines. We will make prominent use of the Julia Language, a free, open-source, high-performance dynamic programming language for technical computing.Show less","Engineering, Computer Science, Algorithms and Data Structures, Computer Design and Engineering, Theory of Computation, Mathematics",Prof. Alan Edelman,https://ocw.mit.edu/courses/18-337j-parallel-computing-fall-2011/,"Mathematics
Electrical Engineering and Computer Science"
Infinite Random Matrix Theory,"In this course on the mathematics of infinite random matrices, students will learn about the tools such as the Stieltjes transform and Free Probability used to characterize infinite random matrices.","Mathematics, Algebra and Number Theory, Differential Equations, Linear Algebra, Probability and Statistics, Science",Prof. Moe Win Prof. Alan Edelman,https://ocw.mit.edu/courses/18-338j-infinite-random-matrix-theory-fall-2004/,"Mathematics
Aeronautics and Astronautics"
Nonlinear Dynamics I: Chaos,This course provides an introduction to nonlinear dynamics and chaos in dissipative systems. The content is structured to be of general interest to undergraduates in engineering and science.,"Mathematics, Computation, Differential Equations, Linear Algebra",Lyubov Chumakova,https://ocw.mit.edu/courses/18-353j-nonlinear-dynamics-i-chaos-fall-2012/,"Mathematics
Mechanical Engineering
Earth, Atmospheric, and Planetary Sciences"
Nonlinear Dynamics II: Continuum Systems,"This course introduces the basic ideas for understanding the dynamics of continuum systems, by studying specific examples from a range of different fields. Our goal will be to explain the general principles, and also to illustrate them via important physical effects. A parallel goal of this course is to give you an introduction to mathematical modeling.Show less","Mathematics, Applied Mathematics, Science",Prof. Jörn Dunkel,https://ocw.mit.edu/courses/18-354j-nonlinear-dynamics-ii-continuum-systems-spring-2015/,"Mathematics
Civil and Environmental Engineering
Earth, Atmospheric, and Planetary Sciences"
Interfacial Phenomena,"This graduate-level course covers fluid systems dominated by the influence of interfacial tension. The roles of curvature pressure and Marangoni stress are elucidated in a variety of fluid systems. Particular attention is given to drops and bubbles, soap films and minimal surfaces, wetting phenomena, water-repellency, surfactants, Marangoni flows, capillary origami and contact line dynamics.Show less","Engineering, Mechanical Engineering, Fluid Mechanics, Mathematics",Prof. John W. M. Bush,https://ocw.mit.edu/courses/18-357-interfacial-phenomena-fall-2010/,Mathematics
Random Walks and Diffusion,"This graduate-level subject explores various mathematical aspects of (discrete) random walks and (continuum) diffusion. Applications include polymers, disordered media, turbulence, diffusion-limited aggregation, granular flow, and derivative securities.","Engineering, Chemical Engineering, Transport Processes, Mechanical Engineering, Fluid Mechanics, Mathematics",Prof. Martin Bazant,https://ocw.mit.edu/courses/18-366-random-walks-and-diffusion-fall-2006/,Mathematics
Mathematical Methods in Nanophotonics,Find out what solid-state physics has brought to Electromagnetism in the last 20 years. This course surveys the physics and mathematics of nanophotonics—electromagnetic waves in media structured on the scale of the wavelength.,"Engineering, Nanotechnology, Mathematics, Science",Prof. Steven G. Johnson,https://ocw.mit.edu/courses/18-369-mathematical-methods-in-nanophotonics-spring-2008/,Mathematics
Nonlinear Dynamics and Chaos,"This graduate level course focuses on nonlinear dynamics with applications. It takes an intuitive approach with emphasis on geometric thinking, computational and analytical methods and makes extensive use of demonstration software.","Mathematics, Applied Mathematics, Differential Equations, Topology and Geometry",Prof. Rodolfo Rosales,https://ocw.mit.edu/courses/18-385j-nonlinear-dynamics-and-chaos-fall-2004/,"Mathematics
Mechanical Engineering"
Nonlinear Dynamics and Chaos,"This graduate level course focuses on nonlinear dynamics with applications. It takes an intuitive approach with emphasis on geometric thinking, computational and analytical methods and makes extensive use of demonstration software.","Mathematics, Applied Mathematics, Differential Equations, Topology and Geometry",Prof. Rodolfo Rosales,https://ocw.mit.edu/courses/18-385j-nonlinear-dynamics-and-chaos-fall-2014/,"Mathematics
Mechanical Engineering"
Theory of Computation,"This course emphasizes computability and computational complexity theory. Topics include regular and context-free languages, decidable and undecidable problems, reducibility, recursive function theory, time and space measures on computation, completeness, hierarchy theorems, inherently complex problems, oracles, probabilistic computation, and interactive proof systems.Show less","Engineering, Computer Science, Theory of Computation, Mathematics",Prof. Michael Sipser,https://ocw.mit.edu/courses/18-404j-theory-of-computation-fall-2020/,"Mathematics
Electrical Engineering and Computer Science"
Advanced Complexity Theory,"This graduate-level course focuses on current research topics in computational complexity theory. Topics include: Nondeterministic, alternating, probabilistic, and parallel computation models; Boolean circuits; Complexity classes and complete sets; The polynomial-time hierarchy; Interactive proof systems; Relativization; Definitions of randomness; Pseudo-randomness and derandomizations;Interactive proof systems and probabilistically checkable proofs.Show less","Engineering, Computer Science, Theory of Computation, Mathematics",Prof. Dana Moshkovitz Mohammad Bavarian,https://ocw.mit.edu/courses/18-405j-advanced-complexity-theory-spring-2016/,"Mathematics
Electrical Engineering and Computer Science"
